problem,family,algorithm,mean_best,median_best,std_best,mean_runtime
Ackley,continuous,DE,11.054162338529137,11.408685656796123,1.7291487965278525,0.06262251999993775
Ackley,continuous,GA,2.2950197166133095,2.276726990420594,0.48504207805095845,0.08309315333320531
Ackley,continuous,MonteCarlo,17.576507248942328,17.70674968191075,0.9803997511368373,0.02733824000003248
Ackley,continuous,PSO,4.039101748669308,4.095581989990169,0.764312003747545,0.01665437999987868
Alpine1,continuous,DE,5.138051714094726,5.365116897448809,1.073726480695224,0.050759473333406885
Alpine1,continuous,GA,0.16449761118411627,0.07902764524459754,0.23441403358368548,0.07070422333317765
Alpine1,continuous,MonteCarlo,6.699643137633348,6.850574568357546,0.9980085683673253,0.02527900666664209
Alpine1,continuous,PSO,1.5296999814531793,1.1148116318386276,1.0353451020905446,0.009006636666678483
DixonPrice,continuous,DE,156.0349040908101,151.05078155691268,95.4427216574319,0.05444628333343644
DixonPrice,continuous,GA,1.129903167542678,0.9721964754142658,0.4692551809356239,0.052658240000043106
DixonPrice,continuous,MonteCarlo,6358.297561309355,5341.578759314258,4000.4706791504586,0.024820266666483803
DixonPrice,continuous,PSO,19.39316794503637,4.284782098690425,33.648203371479305,0.0071332600000156765
GraphAlloc-Dense-12,graph-resource-allocation,DE,-10.461487435387339,-10.462851003220237,0.014451974463867697,0.07696632999998959
GraphAlloc-Dense-12,graph-resource-allocation,GA,-10.494529806058605,-10.495306852597908,0.0024673840634086624,0.08208164666672625
GraphAlloc-Dense-12,graph-resource-allocation,MonteCarlo,-10.12820423765867,-10.116994723693955,0.08135111252504952,0.05170480000006137
GraphAlloc-Dense-12,graph-resource-allocation,PSO,-10.467247789847168,-10.470058700898289,0.028839588428787154,0.0378989000000729
GraphAlloc-Dense-20,graph-resource-allocation,DE,-11.892226901022322,-11.894803855614455,0.06033717325342263,0.10642593333347274
GraphAlloc-Dense-20,graph-resource-allocation,GA,-11.973691153454265,-11.99486762153662,0.06596604096038251,0.11792773999998947
GraphAlloc-Dense-20,graph-resource-allocation,MonteCarlo,-11.112804404872644,-11.094439449476749,0.1525599718190728,0.08091283999998874
GraphAlloc-Dense-20,graph-resource-allocation,PSO,-11.945863765898988,-12.005976793351014,0.16064567949688444,0.06254172999988442
GraphAlloc-Sparse-12,graph-resource-allocation,DE,-8.863748385555775,-8.858886425984878,0.03256389721396198,0.09857999666677036
GraphAlloc-Sparse-12,graph-resource-allocation,GA,-8.976371475101336,-8.981397140637107,0.020345248276839163,0.09963698000004419
GraphAlloc-Sparse-12,graph-resource-allocation,MonteCarlo,-8.647032501835609,-8.649153389223144,0.0604673174802765,0.05732528000004701
GraphAlloc-Sparse-12,graph-resource-allocation,PSO,-8.93320874344347,-8.944323131855722,0.06385015049570839,0.04084637000002355
GraphAlloc-Sparse-20,graph-resource-allocation,DE,-11.672141497665498,-11.67461963154524,0.07514189017178893,0.08328628333329106
GraphAlloc-Sparse-20,graph-resource-allocation,GA,-11.783791033495175,-11.803001423243124,0.06761463863005139,0.0843181399999897
GraphAlloc-Sparse-20,graph-resource-allocation,MonteCarlo,-10.906987735811741,-10.885494849177181,0.13606368846898192,0.05423273666674504
GraphAlloc-Sparse-20,graph-resource-allocation,PSO,-11.721098091168752,-11.767804774066942,0.16824963531882967,0.04421554333336341
Griewank,continuous,DE,1.1029090152502117,1.1142462668129625,0.17631554782961495,0.06986599666667341
Griewank,continuous,GA,0.39453627843188116,0.3766500267353476,0.10117182563777763,0.0632725533332632
Griewank,continuous,MonteCarlo,2.0793259335630263,2.106553703238946,0.35550078659411816,0.030536819999906584
Griewank,continuous,PSO,0.7507745724818775,0.7681628695580456,0.12207935173806167,0.011088770000120955
Levy,continuous,DE,3.6537586845987367,3.2619961766095615,1.6923088776167619,0.06657367666678814
Levy,continuous,GA,0.10703805821746118,0.035017534303911066,0.3884455277604905,0.06781365666665806
Levy,continuous,MonteCarlo,10.360249177677417,10.183059795406479,2.9269169489937035,0.05565744666673709
Levy,continuous,PSO,0.3133545254461478,0.24642648684295787,0.23301753789189492,0.02280777999988762
Rastrigin,continuous,DE,50.431422136009246,50.92840481183321,8.15886973738949,0.04743007333324082
Rastrigin,continuous,GA,8.390861547053051,8.194156926957668,2.8294063546282877,0.06493669666663966
Rastrigin,continuous,MonteCarlo,58.62244001493086,62.71665400273915,8.778978194279167,0.028580763333320647
Rastrigin,continuous,PSO,30.198793516173826,29.520440279103447,8.830844413352223,0.009635973333418708
Rosenbrock,continuous,DE,81.95413817238396,72.47086560449458,38.047731825681005,0.06794915333342336
Rosenbrock,continuous,GA,7.300637219347659,7.025068520958601,2.575806321229461,0.05257551666685079
Rosenbrock,continuous,MonteCarlo,527.7621627815062,502.98883284233045,177.87850939457505,0.02836485000004056
Rosenbrock,continuous,PSO,23.994885174739615,10.173622541038231,32.91977646221454,0.010631623333332148
Routing-Dense-14,graph-routing,DE,38.580778105981004,38.49438278420132,0.377371839092069,0.10549046666674258
Routing-Dense-14,graph-routing,GA,38.06001645583434,38.0305531585187,0.07900163483048749,0.09980143999994956
Routing-Dense-14,graph-routing,MonteCarlo,40.65157898750909,40.431101606224814,1.404444582773371,0.06521469999988767
Routing-Dense-14,graph-routing,PSO,38.75236610414711,38.072897306406375,1.9603463698504209,0.06237130999995012
Routing-Dense-22,graph-routing,DE,41.03339643158463,40.95068392302545,0.30811497864098414,0.10599916333333871
Routing-Dense-22,graph-routing,GA,40.89302405191216,40.83777185928771,0.15203200125014468,0.10313965000004828
Routing-Dense-22,graph-routing,MonteCarlo,44.509609276342594,43.45965528753513,2.8958825312300354,0.08145352999996855
Routing-Dense-22,graph-routing,PSO,41.25399739520357,40.99700194958626,0.7871774290863283,0.06815265333334537
Routing-Sparse-14,graph-routing,DE,59.90002220392753,59.55999906600809,1.0332275706079186,0.08732346666659699
Routing-Sparse-14,graph-routing,GA,58.919770233775466,58.79850368922648,0.5309650562129818,0.08316630000002381
Routing-Sparse-14,graph-routing,MonteCarlo,67.69106313298704,67.61529967037198,2.601272785466936,0.05489850666681377
Routing-Sparse-14,graph-routing,PSO,60.5427740014526,58.97304324476696,2.6254989971223726,0.04260390000005524
Routing-Sparse-22,graph-routing,DE,138.74853320333503,138.4924594761262,0.8287500662898328,0.10847642000004877
Routing-Sparse-22,graph-routing,GA,138.50924810250177,138.42186778010034,0.4588389248352754,0.095326526666607
Routing-Sparse-22,graph-routing,MonteCarlo,143.588409861167,143.45945058349312,1.5479134845090654,0.06575448333333042
Routing-Sparse-22,graph-routing,PSO,138.7382158443776,138.54832561695213,0.7227241359229867,0.06028355666670298
Salomon,continuous,DE,3.46531298778243,3.2243934091144215,0.6694779256630912,0.06080150666672732
Salomon,continuous,GA,0.5598055378098089,0.5331321514436153,0.1540389260218325,0.055862426666741766
Salomon,continuous,MonteCarlo,7.4430549900066385,7.602054616748886,1.112326511050094,0.021992173333304284
Salomon,continuous,PSO,1.1988667740833394,1.253103452532935,0.2910902301777092,0.01655256999993071
Schwefel,continuous,DE,1471.0439065586427,1458.5689982362985,196.70033690834074,0.04635541666666541
Schwefel,continuous,GA,1042.6891610235964,1033.2594554669586,278.48678646374935,0.04932299666667556
Schwefel,continuous,MonteCarlo,1573.1517415202168,1617.7734124444557,199.77020713614138,0.019219910000144107
Schwefel,continuous,PSO,973.088159113393,939.0853030539647,280.5926794346831,0.007400003333289836
Sphere,continuous,DE,1.9037669244099997,1.6586493203573893,0.89838934773402,0.04334522333335068
Sphere,continuous,GA,0.01504576345742927,0.010956390567029187,0.011062501582480013,0.051007926666776865
Sphere,continuous,MonteCarlo,10.620097427882468,10.506049044195366,3.118331686634585,0.016819696666698292
Sphere,continuous,PSO,0.08897803256239414,0.07275334606686577,0.06542163343699035,0.005018289999983002
StyblinskiTang,continuous,DE,-229.3827286689535,-229.34677485315422,13.906726446704068,0.06080109000001054
StyblinskiTang,continuous,GA,-282.57867298752495,-284.11370804076773,13.740665211625105,0.06632590666661903
StyblinskiTang,continuous,MonteCarlo,-232.51744688297404,-232.58685277299492,13.297789274174702,0.029143530000055762
StyblinskiTang,continuous,PSO,-284.1059338621947,-283.5519119965038,19.343542432068496,0.012029006666640878
Zakharov,continuous,DE,19.845986871072032,18.085443574106016,7.767547541889823,0.05448500333344176
Zakharov,continuous,GA,3.8781255545169886,2.7663274425659057,4.190275554846239,0.05792028333338142
Zakharov,continuous,MonteCarlo,48.45346510951833,52.00006663086401,16.57372021281706,0.02484776666660764
Zakharov,continuous,PSO,12.800479840446714,6.3509764895231555,13.272851434516099,0.012830893333345254
